Time,Motor1,Motor2,Motor3,Motor4
1674474246.120173,0,0,0,0
1674474247.122281,0,0,0,0
1674474248.1243832,0,0,0,0
1674474249.1267629,0,0,0,0
1674474250.1296206,0,0,0,0
1674474251.1317568,0,0,0,0
1674474252.134089,0,0,0,0
1674474253.1368172,0,0,0,0
1674474254.139121,0,0,0,0
1674474255.1421824,0,0,0,0
Time,Motor1,Motor2,Motor3,Motor4
1674475305.8652034,0,0,0,0
1674475306.8673213,0,0,0,0
1674475307.8693938,0,0,0,0
1674475308.8715231,0,0,0,0
1674475309.8733017,40,40,44,39
1674475310.8756938,54,42,46,42
1674475311.8780305,140,141,144,139
1674475312.8801396,130,126,123,125
1674475313.8842263,78,69,74,71
1674475314.8861244,44,40,47,39
1674475315.887952,108,99,103,98
1674475316.8907957,2,1,1,0
1674475317.8932004,43,45,43,46
1674475318.8956409,46,44,46,44
1674475319.9002836,106,105,106,105
1674475320.903396,95,93,97,83
1674475321.905498,77,78,77,69
1674475322.9082832,59,62,56,64
1674475323.9117038,83,75,78,77
1674475324.913942,78,72,75,71
1674475325.9167786,54,48,49,46
1674475326.918984,0,0,0,0
1674475327.9240525,56,56,53,57
1674475328.9264007,104,111,111,106
1674475329.9291792,147,151,153,148
1674475330.9308233,131,115,131,117
1674475331.933182,46,40,37,38
1674475332.9346588,124,126,127,122
1674475333.9361188,61,59,65,59
1674475334.9380708,100,94,108,86
1674475335.939762,157,149,155,157
1674475336.941728,70,59,70,58
1674475337.9440355,59,65,64,57
1674475338.9456902,100,92,96,97
1674475339.9476302,30,34,32,34
1674475340.9497733,47,49,49,53
1674475341.9522076,91,81,85,84
1674475342.9547353,91,91,93,89
1674475343.9567115,62,61,68,62
1674475344.9586742,46,47,43,51
1674475345.9603527,150,151,152,152
1674475346.9620605,145,147,144,142
1674475347.963969,102,82,88,80
1674475348.9658992,24,19,18,21
1674475349.9681013,34,36,36,35
1674475350.9703138,23,19,23,21
1674475351.9723291,49,47,50,46
1674475352.9748852,64,58,60,59
1674475353.979531,103,95,102,97
1674475354.981232,145,143,151,141
1674475355.9833825,144,144,144,147
1674475356.98549,27,30,32,26
1674475357.987387,1,2,2,2
1674475358.9894145,46,46,45,49
1674475359.9993072,90,86,79,88
1674475361.0011966,126,119,120,127
1674475362.0034852,91,92,97,96
1674475363.0053873,67,60,65,62
1674475364.0071433,73,72,70,67
1674475365.0088649,1,1,1,0
1674475366.0109968,0,0,0,0
1674475367.0128345,0,0,0,0
1674475368.014474,0,0,0,0
1674475369.0182457,0,0,0,0
1674475370.0207937,0,0,0,0
Time,Motor1,Motor2,Motor3,Motor4
1674475477.8508267,0,0,0,0
1674475478.8598757,0,0,0,0
1674475479.8623595,0,0,0,0
1674475480.864483,0,0,0,0
Time,Motor1,Motor2,Motor3,Motor4
1674475502.5917444,0,0,0,0
1674475503.5941226,0,0,0,0
1674475504.596236,0,0,0,0
1674475505.5983186,0,0,0,0
