Time,Motor1,Motor2,Motor3,Motor4
1675000182.9631767,0,0,0,0
1675000183.9652054,0,0,0,0
1675000184.9672132,0,0,0,0
1675000185.969178,0,0,0,0
1675000186.972166,0,0,0,0
1675000187.97412,0,0,0,0
1675000188.9762142,0,0,0,0
1675000189.9796576,0,0,0,0
1675000190.981701,0,0,0,0
1675000191.9841042,0,0,0,0
1675000192.9862444,0,0,0,0
1675000193.9881935,0,0,0,0
1675000194.9902265,0,0,0,0
1675000195.9946961,0,0,0,0
1675000196.99691,0,0,0,0
1675000197.999907,0,0,0,0
1675000199.0021896,0,0,0,0
1675000200.004116,0,0,2,0
1675000201.0063066,0,0,0,0
1675000202.012893,0,0,0,0
1675000203.0149846,0,0,0,0
1675000204.0169697,0,0,0,0
1675000205.0193737,0,0,0,0
1675000206.0213706,0,0,0,0
1675000207.0236526,0,0,0,0
1675000208.0255544,0,0,0,0
1675000209.0276105,0,0,0,0
1675000210.0303304,0,0,0,0
1675000211.0335226,0,0,0,0
1675000212.036257,0,0,0,0
1675000213.0382082,0,0,0,0
1675000214.040139,0,0,0,0
1675000215.0424917,0,0,0,0
1675000216.0446405,0,0,0,0
1675000217.0466235,0,0,0,0
1675000218.0488977,0,0,0,0
1675000219.050929,0,0,0,0
1675000220.0531383,0,0,0,0
1675000221.0552928,0,0,0,0
1675000222.0574188,0,0,0,0
1675000223.0595417,0,0,0,0
1675000224.0614195,0,0,0,0
1675000225.0635614,0,0,0,0
1675000226.0677896,0,0,0,0
1675000227.0701008,0,0,0,0
1675000228.072455,0,0,0,0
1675000229.0743089,0,0,0,0
1675000230.0763292,0,0,0,0
1675000231.0788333,0,0,0,0
1675000232.0822701,0,0,0,0
1675000233.0843298,0,0,0,0
1675000234.0866177,0,0,0,0
1675000235.0886996,0,0,0,0
1675000236.0908673,0,0,0,0
1675000237.0929453,0,0,0,0
1675000238.095058,0,0,0,0
1675000239.096951,0,0,0,0
1675000240.0992215,0,0,0,0
1675000241.1017225,0,0,0,1
1675000242.104107,0,0,0,0
1675000243.1293256,0,0,0,0
Time,Motor1,Motor2,Motor3,Motor4
1675000306.697067,0,0,0,0
1675000307.6991322,0,0,0,0
1675000308.7016218,0,0,0,0
1675000309.7036777,0,42,34,31
1675000310.7062104,0,77,80,71
1675000311.7078326,0,63,47,52
1675000312.7097201,0,63,59,53
1675000313.7120833,0,85,87,89
1675000314.7137716,0,71,63,81
1675000315.7156413,0,70,73,84
1675000316.717288,0,51,42,44
1675000317.7230968,0,83,74,83
1675000318.7251601,0,46,37,53
1675000319.7271507,0,90,74,79
1675000320.729186,0,54,37,38
1675000321.731133,0,66,60,59
1675000322.7329845,0,102,98,88
1675000323.7353132,0,62,51,51
1675000324.737113,0,66,68,65
1675000325.739156,0,64,59,80
1675000326.740527,0,34,30,33
1675000327.7421877,0,78,61,79
1675000328.7441032,0,93,96,106
1675000329.7465785,0,22,25,28
1675000330.7506163,0,67,60,53
1675000331.755533,0,33,28,38
1675000332.7578611,0,53,44,57
1675000333.761067,0,111,120,106
1675000334.762617,0,85,66,74
1675000335.7648456,0,99,91,83
1675000336.7666926,0,46,25,37
1675000337.7695396,0,79,68,82
1675000338.7712848,0,35,25,40
1675000339.7733068,0,85,85,98
1675000340.775434,0,7,1,6
1675000341.7771726,0,60,63,65
1675000342.778722,0,58,48,59
1675000343.78088,0,88,88,102
1675000344.7829406,0,33,40,47
1675000345.784836,0,44,45,47
1675000346.7868357,0,84,84,83
1675000347.792891,0,44,54,46
1675000348.7948642,0,69,56,52
1675000349.7966628,0,104,92,93
1675000350.798468,0,44,38,38
1675000351.8003905,0,120,118,108
1675000352.8020833,0,5,2,2
1675000353.803758,0,60,65,61
1675000354.8058484,0,84,82,67
1675000355.8084552,0,47,32,36
1675000356.8110783,0,0,0,0
1675000357.8133605,0,114,114,112
1675000358.8179657,0,70,73,60
1675000359.8203578,0,0,0,0
1675000360.8219132,0,49,43,46
1675000361.8237572,0,45,52,57
1675000362.825529,0,67,67,72
